state,indicator,stat,us_average,party2020,college_votes_available
South Carolina,Net International Migration (%),1.12,1.4,Republican,9
South Dakota,Net International Migration (%),0.47,1.4,Republican,3
Tennessee,Net International Migration (%),1.37,1.4,Republican,11
Texas,Net International Migration (%),2.26,1.4,Republican,38
Utah,Net International Migration (%),1.75,1.4,Republican,6
Vermont,Net International Migration (%),0.61,1.4,Democrat,3
Virginia,Net International Migration (%),1.75,1.4,Democrat,13
Washington,Net International Migration (%),3.18,1.4,Democrat,12
West Virginia,Net International Migration (%),-0.19,1.4,Republican,5
Wisconsin,Net International Migration (%),0.57,1.4,Democrat,10
Wyoming,Net International Migration (%),0.93,1.4,Republican,3
Alabama,Covid Cases as Proportion of Population (%),1.52,2.22,Republican,9
Alaska,Covid Cases as Proportion of Population (%),0.51,2.22,Republican,3
Arizona,Covid Cases as Proportion of Population (%),2.41,2.22,Democrat,11
Arkansas,Covid Cases as Proportion of Population (%),1.75,2.22,Republican,6
California,Covid Cases as Proportion of Population (%),1.89,2.22,Democrat,55
Colorado,Covid Cases as Proportion of Population (%),2.01,2.22,Democrat,9
Connecticut,Covid Cases as Proportion of Population (%),6.19,2.22,Democrat,7
Delaware,Covid Cases as Proportion of Population (%),2.79,2.22,Democrat,3
District of Columbia,Covid Cases as Proportion of Population (%),3.69,2.22,Democrat,3
Florida,Covid Cases as Proportion of Population (%),2.1,2.22,Republican,29
Georgia,Covid Cases as Proportion of Population (%),2.2,2.22,Democrat,16
Hawaii,Covid Cases as Proportion of Population (%),1.43,2.22,Democrat,4
Idaho,Covid Cases as Proportion of Population (%),0.97,2.22,Republican,4
Illinois,Covid Cases as Proportion of Population (%),2.33,2.22,Democrat,20
Indiana,Covid Cases as Proportion of Population (%),2.36,2.22,Republican,11
Iowa,Covid Cases as Proportion of Population (%),1.32,2.22,Republican,6
Kansas,Covid Cases as Proportion of Population (%),1.17,2.22,Republican,6
Kentucky,Covid Cases as Proportion of Population (%),1.35,2.22,Republican,8
Louisiana,Covid Cases as Proportion of Population (%),3.15,2.22,Republican,8
Maine,Covid Cases as Proportion of Population (%),2.12,2.22,Democrat,4
Maryland,Covid Cases as Proportion of Population (%),2.8,2.22,Democrat,10
Massachusetts,Covid Cases as Proportion of Population (%),5.99,2.22,Democrat,11
Michigan,Covid Cases as Proportion of Population (%),3.74,2.22,Democrat,16
Minnesota,Covid Cases as Proportion of Population (%),1.63,2.22,Democrat,10
Mississippi,Covid Cases as Proportion of Population (%),2.78,2.22,Republican,6
Missouri,Covid Cases as Proportion of Population (%),1.61,2.22,Republican,10
Montana,Covid Cases as Proportion of Population (%),1.13,2.22,Republican,3
Nebraska,Covid Cases as Proportion of Population (%),0.89,2.22,Republican,5
Nevada,Covid Cases as Proportion of Population (%),1.75,2.22,Democrat,6
New Hampshire,Covid Cases as Proportion of Population (%),4.22,2.22,Democrat,4
New Jersey,Covid Cases as Proportion of Population (%),6.74,2.22,Democrat,14
New Mexico,Covid Cases as Proportion of Population (%),2.12,2.22,Democrat,5
New York,Covid Cases as Proportion of Population (%),3.74,2.22,Democrat,29
North Carolina,Covid Cases as Proportion of Population (%),1.59,2.22,Republican,15
North Dakota,Covid Cases as Proportion of Population (%),1.18,2.22,Republican,3
Ohio,Covid Cases as Proportion of Population (%),2.38,2.22,Republican,18
Oklahoma,Covid Cases as Proportion of Population (%),1.04,2.22,Republican,7
Oregon,Covid Cases as Proportion of Population (%),1.51,2.22,Democrat,7
Pennsylvania,Covid Cases as Proportion of Population (%),4.12,2.22,Democrat,20
Rhode Island,Covid Cases as Proportion of Population (%),3.51,2.22,Democrat,4
South Carolina,Covid Cases as Proportion of Population (%),2.21,2.22,Republican,9
South Dakota,Covid Cases as Proportion of Population (%),0.91,2.22,Republican,3
Tennessee,Covid Cases as Proportion of Population (%),1.3,2.22,Republican,11
Texas,Covid Cases as Proportion of Population (%),1.98,2.22,Republican,38
Utah,Covid Cases as Proportion of Population (%),0.52,2.22,Republican,6
Vermont,Covid Cases as Proportion of Population (%),2.56,2.22,Democrat,3
Virginia,Covid Cases as Proportion of Population (%),1.98,2.22,Democrat,13
Washington,Covid Cases as Proportion of Population (%),2.18,2.22,Democrat,12
West Virginia,Covid Cases as Proportion of Population (%),1.83,2.22,Republican,5
Wisconsin,Covid Cases as Proportion of Population (%),0.86,2.22,Democrat,10
Wyoming,Covid Cases as Proportion of Population (%),0.64,2.22,Republican,3
Alabama,Covid Deaths as Proportion of Cases (%),4,2.84,Republican,9
Alaska,Covid Deaths as Proportion of Cases (%),2.24,2.84,Republican,3
Arizona,Covid Deaths as Proportion of Cases (%),3.43,2.84,Democrat,11
Arkansas,Covid Deaths as Proportion of Cases (%),3.78,2.84,Republican,6
California,Covid Deaths as Proportion of Cases (%),2.37,2.84,Democrat,55
Colorado,Covid Deaths as Proportion of Cases (%),1.99,2.84,Democrat,9
Connecticut,Covid Deaths as Proportion of Cases (%),2.1,2.84,Democrat,7
Delaware,Covid Deaths as Proportion of Cases (%),2.62,2.84,Democrat,3
District of Columbia,Covid Deaths as Proportion of Cases (%),2.48,2.84,Democrat,3
Florida,Covid Deaths as Proportion of Cases (%),3.75,2.84,Republican,29
Georgia,Covid Deaths as Proportion of Cases (%),3.43,2.84,Democrat,16
Hawaii,Covid Deaths as Proportion of Cases (%),1.08,2.84,Democrat,4
Idaho,Covid Deaths as Proportion of Cases (%),3.75,2.84,Republican,4
Illinois,Covid Deaths as Proportion of Cases (%),3.44,2.84,Democrat,20
Indiana,Covid Deaths as Proportion of Cases (%),2.79,2.84,Republican,11
Iowa,Covid Deaths as Proportion of Cases (%),4.24,2.84,Republican,6
Kansas,Covid Deaths as Proportion of Cases (%),3.06,2.84,Republican,6
Kentucky,Covid Deaths as Proportion of Cases (%),2.49,2.84,Republican,8
Louisiana,Covid Deaths as Proportion of Cases (%),4.07,2.84,Republican,8
Maine,Covid Deaths as Proportion of Cases (%),0.53,2.84,Democrat,4
Maryland,Covid Deaths as Proportion of Cases (%),2.46,2.84,Democrat,10
Massachusetts,Covid Deaths as Proportion of Cases (%),2.43,2.84,Democrat,11
Michigan,Covid Deaths as Proportion of Cases (%),2.08,2.84,Democrat,16
Minnesota,Covid Deaths as Proportion of Cases (%),2.79,2.84,Democrat,10
Mississippi,Covid Deaths as Proportion of Cases (%),4.11,2.84,Republican,6
Missouri,Covid Deaths as Proportion of Cases (%),3.1,2.84,Republican,10
Montana,Covid Deaths as Proportion of Cases (%),3.29,2.84,Republican,3
Nebraska,Covid Deaths as Proportion of Cases (%),3.83,2.84,Republican,5
Nevada,Covid Deaths as Proportion of Cases (%),3.34,2.84,Democrat,6
New Hampshire,Covid Deaths as Proportion of Cases (%),0.84,2.84,Democrat,4
New Jersey,Covid Deaths as Proportion of Cases (%),2.73,2.84,Democrat,14
New Mexico,Covid Deaths as Proportion of Cases (%),2.35,2.84,Democrat,5
New York,Covid Deaths as Proportion of Cases (%),1.28,2.84,Democrat,29
North Carolina,Covid Deaths as Proportion of Cases (%),2.67,2.84,Republican,15
North Dakota,Covid Deaths as Proportion of Cases (%),6.34,2.84,Republican,3
Ohio,Covid Deaths as Proportion of Cases (%),1.93,2.84,Republican,18
Oklahoma,Covid Deaths as Proportion of Cases (%),3.36,2.84,Republican,7
Oregon,Covid Deaths as Proportion of Cases (%),1.1,2.84,Democrat,7
Pennsylvania,Covid Deaths as Proportion of Cases (%),1.68,2.84,Democrat,20
Rhode Island,Covid Deaths as Proportion of Cases (%),3.26,2.84,Democrat,4
South Carolina,Covid Deaths as Proportion of Cases (%),3.5,2.84,Republican,9
South Dakota,Covid Deaths as Proportion of Cases (%),5.52,2.84,Republican,3
Tennessee,Covid Deaths as Proportion of Cases (%),3.9,2.84,Republican,11
Texas,Covid Deaths as Proportion of Cases (%),3.16,2.84,Republican,38
Utah,Covid Deaths as Proportion of Cases (%),3.72,2.84,Republican,6
Vermont,Covid Deaths as Proportion of Cases (%),0.36,2.84,Democrat,3
Virginia,Covid Deaths as Proportion of Cases (%),2.18,2.84,Democrat,13
Washington,Covid Deaths as Proportion of Cases (%),1.44,2.84,Democrat,12
West Virginia,Covid Deaths as Proportion of Cases (%),1.43,2.84,Republican,5
Wisconsin,Covid Deaths as Proportion of Cases (%),4.31,2.84,Democrat,10
Wyoming,Covid Deaths as Proportion of Cases (%),2.53,2.84,Republican,3
Alabama,Proportion of Adults with atleast One Gun in Household,58,38.44,Republican,9
Alaska,Proportion of Adults with atleast One Gun in Household,59,38.44,Republican,3
Arizona,Proportion of Adults with atleast One Gun in Household,37,38.44,Democrat,11
Arkansas,Proportion of Adults with atleast One Gun in Household,50,38.44,Republican,6
California,Proportion of Adults with atleast One Gun in Household,18,38.44,Democrat,55
Colorado,Proportion of Adults with atleast One Gun in Household,39,38.44,Democrat,9
Connecticut,Proportion of Adults with atleast One Gun in Household,18,38.44,Democrat,7
Delaware,Proportion of Adults with atleast One Gun in Household,30,38.44,Democrat,3
District of Columbia,Proportion of Adults with atleast One Gun in Household,38,38.44,Democrat,3
Florida,Proportion of Adults with atleast One Gun in Household,29,38.44,Republican,29
Georgia,Proportion of Adults with atleast One Gun in Household,39,38.44,Democrat,16
Hawaii,Proportion of Adults with atleast One Gun in Household,38,38.44,Democrat,4
Idaho,Proportion of Adults with atleast One Gun in Household,53,38.44,Republican,4
Illinois,Proportion of Adults with atleast One Gun in Household,24,38.44,Democrat,20
Indiana,Proportion of Adults with atleast One Gun in Household,40,38.44,Republican,11
Iowa,Proportion of Adults with atleast One Gun in Household,38,38.44,Republican,6
Kansas,Proportion of Adults with atleast One Gun in Household,43,38.44,Republican,6
Kentucky,Proportion of Adults with atleast One Gun in Household,49,38.44,Republican,8
Louisiana,Proportion of Adults with atleast One Gun in Household,48,38.44,Republican,8
Maine,Proportion of Adults with atleast One Gun in Household,45,38.44,Democrat,4
Maryland,Proportion of Adults with atleast One Gun in Household,21,38.44,Democrat,10
Massachusetts,Proportion of Adults with atleast One Gun in Household,10,38.44,Democrat,11
Michigan,Proportion of Adults with atleast One Gun in Household,35,38.44,Democrat,16
Minnesota,Proportion of Adults with atleast One Gun in Household,39,38.44,Democrat,10
Mississippi,Proportion of Adults with atleast One Gun in Household,50,38.44,Republican,6
Missouri,Proportion of Adults with atleast One Gun in Household,48,38.44,Republican,10
Montana,Proportion of Adults with atleast One Gun in Household,64,38.44,Republican,3
Nebraska,Proportion of Adults with atleast One Gun in Household,39,38.44,Republican,5
Nevada,Proportion of Adults with atleast One Gun in Household,36,38.44,Democrat,6
New Hampshire,Proportion of Adults with atleast One Gun in Household,39,38.44,Democrat,4
New Jersey,Proportion of Adults with atleast One Gun in Household,8,38.44,Democrat,14
New Mexico,Proportion of Adults with atleast One Gun in Household,39,38.44,Democrat,5
New York,Proportion of Adults with atleast One Gun in Household,14,38.44,Democrat,29
North Carolina,Proportion of Adults with atleast One Gun in Household,35,38.44,Republican,15
North Dakota,Proportion of Adults with atleast One Gun in Household,55,38.44,Republican,3
Ohio,Proportion of Adults with atleast One Gun in Household,36,38.44,Republican,18
Oklahoma,Proportion of Adults with atleast One Gun in Household,51,38.44,Republican,7
Oregon,Proportion of Adults with atleast One Gun in Household,44,38.44,Democrat,7
Pennsylvania,Proportion of Adults with atleast One Gun in Household,37,38.44,Democrat,20
Rhode Island,Proportion of Adults with atleast One Gun in Household,11,38.44,Democrat,4
South Carolina,Proportion of Adults with atleast One Gun in Household,43,38.44,Republican,9
South Dakota,Proportion of Adults with atleast One Gun in Household,52,38.44,Republican,3
Tennessee,Proportion of Adults with atleast One Gun in Household,46,38.44,Republican,11
Texas,Proportion of Adults with atleast One Gun in Household,37,38.44,Republican,38
Utah,Proportion of Adults with atleast One Gun in Household,39,38.44,Republican,6
Vermont,Proportion of Adults with atleast One Gun in Household,46,38.44,Democrat,3
Virginia,Proportion of Adults with atleast One Gun in Household,37,38.44,Democrat,13
Washington,Proportion of Adults with atleast One Gun in Household,34,38.44,Democrat,12
West Virginia,Proportion of Adults with atleast One Gun in Household,58,38.44,Republican,5
Wisconsin,Proportion of Adults with atleast One Gun in Household,43,38.44,Democrat,10
Wyoming,Proportion of Adults with atleast One Gun in Household,59,38.44,Republican,3
